Generated Revenue,key,SEED,ROUND,POWER RATING,Rank,Conference,Total Allocated
352604.0105920730,Akron_22,13.0,64.0,76.7,,,
19047972.0,Alabama_22,6.0,64.0,85.2,,,
20592916.0,Alabama_23,1.0,16.0,92.6,3.0,SEC,"$195,881,911.00"
26149282.0,Arizona_22,1.0,16.0,90.9,,,
26655146.0,Arizona_23,2.0,64.0,89.0,31.0,Pac-12,"$124,944,926.00"
24004405.0,Arkansas_22,4.0,8.0,86.8,,,
19341299.0,Arkansas_23,8.0,16.0,85.1,20.0,SEC,"$144,319,041.00"
16942072.0,Auburn_22,2.0,32.0,89.5,,,
19085672.0,Auburn_23,9.0,32.0,84.9,11.0,SEC,"$151,590,763.00"
434189.312,Chattanooga_22,13.0,64.0,78.7,,,
5957808.0,Connecticut_22,5.0,64.0,86.4,,,
10630760.0,Connecticut_23,4.0,1.0,89.2,50.0,Big East,"$96,742,518.00"
41356329.0,Duke_22,2.0,4.0,89.3,,,
5231997.0,Florida_Atlantic_23,9.0,4.0,82.6,83.0,CUSA,"$38,132,721.00"
405683.615597766,Furman_23,13.0,32.0,78.2,,,
"9,212,345.00",Houston_22,1.0,8.0,88.7,,,
2247941.0,Houston_23,1.0,16.0,93.2,56.0,AAC,"$73,806,404.00"
29343934.0,Illinois_22,4.0,32.0,86.8,,,
27424012.0,Illinois_23,9.0,64.0,84.5,24.0,Big 10,"$129,119,247.00"
25955324.0,Indiana_22,12.0,64.0,83.0,,,
26940286.0,Indiana_23,4.0,32.0,85.8,13.0,Big 10,"$132,392,596.00"
585884.153488961,Iona_23,13.0,64.0,79.6,,,
14601251.0,Iowa_22,5.0,64.0,89.0,,,
14984166.0,Iowa_23,8.0,64.0,84.4,21.0,Big 10,"$151,144,861.00"
17126971.0,Kansas_22,1.0,1.0,91.3,,,
18347052.0,Kansas_23,1.0,32.0,89.6,35.0,Big 12,"$108,696,078.00"
420154.969586403,Kent_St._23,13.0,64.0,79.4,,,
31256132.0,Kentucky_22,2.0,64.0,91.2,,,
32117351.0,Kentucky_23,6.0,32.0,86.0,16.0,SEC,"$153,621,183.00"
11524430.0,LSU_22,6.0,64.0,85.7,,,
520151.387904996,Louisiana_Lafayette_23,13.0,64.0,76.3,,,
14682529.0,Maryland_23,8.0,32.0,84.5,43.0,Big 10,"$114,385,462.00"
5873945.0,Memphis_22,9.0,32.0,84.9,,,
5254237.0,Memphis_23,8.0,64.0,84.9,60.0,AAC,"$62,174,875.00"
18221449.0,Miami_FL_23,5.0,4.0,83.6,,,
21141253.0,Michigan_22,11.0,16.0,84.7,,,
14657876.0,Missouri_23,7.0,32.0,81.4,28.0,SEC,"$125,621,128.00"
7090897.0,Nevada_23,11.0,68.0,79.6,71.0,MWC,"$45,228,707.00"
32234012.0,North_Carolina_22,8.0,2.0,84.0,,,
18911360.0,Purdue_22,4.0,16.0,89.1,,,
16311833.0,Purdue_23,1.0,64.0,89.5,37.0,Big 10,"$93,025,810.00"
4660552.0,Rutgers_22,11.0,68.0,81.1,,,
405612.24467186,South_Dakota_St._22,13.0,64.0,79.7,,,
21866636,Tennessee_22,3.0,32.0,88.9,,,
21866636.0,Tennessee_23,4.0,16.0,86.9,18.0,SEC,"$157,108,637.00"
23958575.0,Texas_22,6.0,32.0,86.3,,,
23011910.0,Texas_23,2.0,8.0,90.1,2.0,Big 12,"$225,153,011.00"
12899247.0,Texas_A&M_23,7.0,64.0,85.1,7.0,SEC,"$177,671,900.00"
15590989.0,Texas_Tech_22,3.0,16.0,88.7,,,
12736321.0,UCLA_22,4.0,16.0,89.8,,,
14514248.0,UCLA_23,2.0,16.0,88.3,47.0,Pac-12,"$131,106,913.00"
425608.81412024500,Vermont_22,13.0,64.0,80.3,,,
23567445.0,Villanova_22,2.0,4.0,90.2,,,
18199143.0,Virginia_23,4.0,64.0,83.8,14.0,ACC,"$150,584,173.00"
13799621.0,Virginia_Tech_22,11.0,64.0,84.7,,,
15739137.0,West_Virginia_23,9.0,64.0,84.2,45.0,Big 12,"$97,067,706.00"
15873074.0,Wisconsin_22,3.0,32.0,84.7,,,
1782551.0,Wyoming_22,12.0,68.0,78.5,,,