Rank,School Name,Conference,Total Allocated,Key
1,Ohio_State_23,Big 10,"$225,733,418.00",Ohio_State_23
2,Texas_23,Big 12,"$225,153,011.00",Texas_23
3,Alabama_23,SEC,"$195,881,911.00",Alabama_23
4,Michigan_23,Big 10,"$193,559,375.00",Michigan_23
5,Georgia_23,SEC,"$169,026,503.00",Georgia_23
6,LSU_23,SEC,"$192,770,399.00",LSU_23
7,Texas_A&M_23,SEC,"$177,671,900.00",Texas_A&M_23
8,Florida_23,SEC,"$174,365,070.00",Florida_23
9,Penn_State_23,Big 10,"$170,542,050.00",Penn_State_23
10,Oklahoma_23,Big 12,"$175,997,457.00",Oklahoma_23
11,Auburn_23,SEC,"$151,590,763.00",Auburn_23
12,Michigan_State_23,Big 10,"$156,449,795.00",Michigan_State_23
13,Indiana_23,Big 10,"$132,392,596.00",Indiana_23
14,Virginia_23,ACC,"$150,584,173.00",Virginia_23
15,Florida_State_23,ACC,"$150,777,734.00",Florida_State_23
16,Kentucky_23,SEC,"$153,621,183.00",Kentucky_23
17,Clemson_23,ACC,"$143,356,820.00",Clemson_23
18,Tennessee_23,SEC,"$157,108,637.00",Tennessee_23
19,Oregon_23,Pac-12,"$140,565,297.00",Oregon_23
20,Arkansas_23,SEC,"$144,319,041.00",Arkansas_23
21,Iowa_23,Big 10,"$151,144,861.00",Iowa_23
22,Wisconsin_23,Big 10,"$147,807,183.00",Wisconsin_23
23,Louisville_23,ACC,"$139,978,927.00",Louisville_23
24,Illinois_23,Big 10,"$129,119,247.00",Illinois_23
25,Washington_23,Pac-12,"$149,458,923.00",Washington_23
26,Nebraska_23,Big 10,"$131,181,951.00",Nebraska_23
27,South_Carolina_23,SEC,"$144,815,377.00",South_Carolina_23
28,Missouri_23,SEC,"$125,621,128.00",Missouri_23
29,Minnesota_23,Big 10,"$130,285,463.00",Minnesota_23
30,Mississippi_23,SEC,"$138,796,990.00",Mississippi_23
31,Arizona_23,Pac-12,"$124,944,926.00",Arizona_23
32,North_Carolina_23,ACC,"$120,314,967.00",North_Carolina_23
33,Arizona_State_23,Pac-12,"$124,008,192.00",Arizona_State_23
34,California_23,Pac-12,"$114,485,848.00",California_23
35,Kansas_23,Big 12,"$108,696,078.00",Kansas_23
36,Utah_23,Pac-12,"$111,880,434.00",Utah_23
37,Purdue_23,Big 10,"$93,025,810.00",Purdue_23
38,Virginia_Tech_23,ACC,"$117,777,441.00",Virginia_Tech_23
39,Iowa_State_23,Big 12,"$111,227,458.00",Iowa_State_23
40,Mississippi_State_23,SEC,"$105,841,622.00",Mississippi_State_23
41,Texas_Tech_23,Big 12,"$104,778,443.00",Texas_Tech_23
42,Rutgers_23,Big 10,"$138,439,077.00",Rutgers_23
43,Maryland_23,Big 10,"$114,385,462.00",Maryland_23
44,Georgia_Tech_23,ACC,"$104,719,581.00",Georgia_Tech_23
45,West_Virginia_23,Big 12,"$97,067,706.00",West_Virginia_23
46,Oklahoma_State_23,Big 12,"$103,317,156.00",Oklahoma_State_23
47,UCLA_23,Pac-12,"$131,106,913.00",UCLA_23
48,North_Carolina_State_23,ACC,"$100,991,410.00",North_Carolina_State_23
49,Kansas_State_23,Big 12,"$82,220,606.00",Kansas_State_23
50,Connecticut_23,Big East,"$96,742,518.00",Connecticut_23
51,Colorado_23,Pac-12,"$95,968,696.00",Colorado_23
52,Central_Florida_23,AAC,"$69,099,289.00",Central_Florida_23
53,Washington_State_23,Pac-12,"$83,691,991.00",Washington_State_23
54,Oregon_State_23,Pac-12,"$87,729,627.00",Oregon_State_23
55,Cincinnati_23,AAC,"$75,902,262.00",Cincinnati_23
56,Houston_23,AAC,"$73,806,404.00",Houston_23
57,Air_Force_23,MWC,"$67,422,052.00",Air_Force_23
58,San_Diego_State_23,MWC,"$67,245,917.00",San_Diego_State_23
59,Nevada-Las_Vegas_23,MWC,"$62,644,050.00",Nevada-Las_Vegas_23
60,Memphis_23,AAC,"$62,174,875.00",Memphis_23
61,Colorado_State_23,MWC,"$61,220,502.00",Colorado_State_23
62,James_Madison_23,SBC,"$57,800,447.00",James_Madison_23
63,South_Florida_23,AAC,"$62,288,597.00",South_Florida_23
64,East_Carolina_23,AAC,"$54,133,021.00",East_Carolina_23
65,Fresno_State_23,MWC,"$46,515,828.00",Fresno_State_23
66,Massachusetts_23,A10,"$52,853,964.00",Massachusetts_23
67,Old_Dominion_23,SBC,"$51,914,920.00",Old_Dominion_23
68,Boise_State_23,MWC,"$50,328,947.00",Boise_State_23
69,Wyoming_23,MWC,"$47,146,999.00",Wyoming_23
70,Hawaii_23,BigWst,"$48,029,141.00",Hawaii_23
71,Nevada_23,MWC,"$45,228,707.00",Nevada_23
72,Georgia_State_23,SBC,"$39,913,963.00",Georgia_State_23
73,Coastal_Carolina_23,SBC,"$45,443,779.00",Coastal_Carolina_23
74,New_Mexico_23,MWC,"$44,865,758.00",New_Mexico_23
75,North_Texas_23,CUSA,"$44,222,540.00",North_Texas_23
76,California-Davis_23,BigWst,"$40,909,557.00",California-Davis_23
77,Virginia_Commonwealth_23,A10,"$41,887,842.00",Virginia_Commonwealth_23
78,Utah_State_23,MWC,"$42,824,185.00",Utah_State_23
79,Charlotte_23,CUSA,"$39,381,134.00",Charlotte_23
80,Florida_International_23,CUSA,"$39,433,624.00",Florida_International_23
81,Buffalo_23,MAC,"$39,537,565.00",Buffalo_23
82,Marshall_23,SBC,"$39,350,986.00",Marshall_23
83,Florida_Atlantic_23,CUSA,"$38,132,721.00",Florida_Atlantic_23
84,Western_Michigan_23,MAC,"$34,422,527.00",Western_Michigan_23
85,South_Alabama_23,SBC,"$33,001,239.00",South_Alabama_23
86,San_Jose_State_23,MWC,"$39,030,022.00",San_Jose_State_23
87,Central_Michigan_23,MAC,"$34,284,909.00",Central_Michigan_23
88,Appalachian_State_23,SBC,"$38,565,701.00",Appalachian_State_23
89,Alabama_at_Birmingham_23,CUSA,"$39,890,894.00",Alabama_at_Birmingham_23
90,Texas-San_Antonio_23,CUSA,"$39,156,362.00",Texas-San_Antonio_23
91,Miami_(Ohio)_23,MAC,"$37,880,709.00",Miami_(Ohio)_23
92,Texas_State_23,SBC,"$37,853,450.00",Texas_State_23
93,California_Polytechnic_23,BigWst,"$35,998,471.00",California_Polytechnic_23
94,Stony_Brook_23,CAA,"$38,944,967.00",Stony_Brook_23
95,Sacramento_State_23,BigSky,"$35,004,647.00",Sacramento_State_23
96,Middle_Tennessee_23,CUSA,"$35,614,512.00",Middle_Tennessee_23
97,Toledo_23,MAC,"$35,602,789.00",Toledo_23
98,George_Mason_23,A10,"$30,290,482.00",George_Mason_23
99,Western_Kentucky_23,CUSA,"$35,142,710.00",Western_Kentucky_23
100,Binghamton_23,AmEast,"$23,851,280.00",Binghamton_23
101,Troy_23,SBC,"$33,355,524.00",Troy_23
102,Texas-El_Paso_23,CUSA,"$34,370,528.00",Texas-El_Paso_23
103,New_Hampshire_23,AmEast,"$31,716,448.00",New_Hampshire_23
104,Eastern_Michigan_23,MAC,"$33,040,581.00",Eastern_Michigan_23
105,Louisiana-Lafayette_23,SBC,"$38,364,254.00",Louisiana-Lafayette_23
106,Kennesaw_State_23,Asun,"$25,862,921.00",Kennesaw_State_23
107,Arkansas_State_23,SBC,"$32,376,515.00",Arkansas_State_23
108,Rhode_Island_23,A10,"$33,139,455.00",Rhode_Island_23
109,William_&_Mary_23,CAA,"$30,727,683.00",William_&_Mary_23
110,North_Dakota_23,Summit,"$30,837,768.00",North_Dakota_23
111,Georgia_Southern_23,SBC,"$30,700,262.00",Georgia_Southern_23
112,Akron_23,MAC,"$30,290,134.00",Akron_23
113,New_Mexico_State_23,WAC,"$32,457,148.00",New_Mexico_State_23
114,Missouri_State_23,MVC,"$29,915,772.00",Missouri_State_23
115,Illinois_State_23,MVC,"$29,834,680.00",Illinois_State_23
116,Ohio_23,MAC,"$31,309,063.00",Ohio_23
117,North_Dakota_State_23,Summit,"$28,432,381.00",North_Dakota_State_23
118,Montana_23,BigSky,"$22,515,985.00",Montana_23
119,California-San_Diego_23,BigWst,"$24,652,947.00",California-San_Diego_23
120,Ball_State_23,MAC,"$28,526,892.00",Ball_State_23
121,Louisiana_Tech_23,CUSA,"$28,294,724.00",Louisiana_Tech_23
122,Wichita_State_23,AAC,"$25,668,918.00",Wichita_State_23
123,Kent_State_23,MAC,"$29,613,870.00",Kent_State_23
124,Towson_23,CAA,"$28,156,444.00",Towson_23
125,Southern_Mississippi_23,SBC,"$28,346,698.00",Southern_Mississippi_23
126,Albany_23,AmEast,"$27,056,948.00",Albany_23
127,Montana_State_23,BigSky,"$26,119,361.00",Montana_State_23
128,Nebraska-Omaha_23,Summit,"$21,502,666.00",Nebraska-Omaha_23
129,Northern_Arizona_23,BigSky,"$25,388,969.00",Northern_Arizona_23
130,Bowling_Green_23,MAC,"$25,353,769.00",Bowling_Green_23
131,South_Dakota_State_23,Summit,"$23,399,570.00",South_Dakota_State_23
132,Maine_23,AmEast,"$24,291,873.00",Maine_23
133,California-Irvine_23,BigWst,"$25,162,739.00",California-Irvine_23
134,Maryland-Baltimore_Cty_23,AmEast,"$18,788,921.00",Maryland-Baltimore_Cty_23
135,Wisconsin-Milwaukee_23,Hor,"$14,415,250.00",Wisconsin-Milwaukee_23
136,Stephen_F._Austin_23,WAC,"$23,492,261.00",Stephen_F._Austin_23
137,College_of_Charleston_23,CAA,"$22,217,391.00",College_of_Charleston_23
138,Vermont_23,AmEast,"$23,169,941.00",Vermont_23
139,Idaho_23,BigSky,"$22,289,958.00",Idaho_23
140,Massachusetts-Lowell_23,AmEast,"$22,192,454.00",Massachusetts-Lowell_23
141,Northern_Colorado_23,BigSky,"$18,973,253.00",Northern_Colorado_23
142,South_Dakota_23,Summit,"$22,446,314.00",South_Dakota_23
143,Northern_Illinois_23,MAC,"$24,097,387.00",Northern_Illinois_23
144,East_Tennessee_State_23,SoCon,"$22,173,333.00",East_Tennessee_State_23
145,California_State-Fullerton_23,BigWst,"$21,983,747.00",California_State-Fullerton_23
146,California-Santa_Barbara_23,BigWst,"$24,902,464.00",California-Santa_Barbara_23
147,Sam_Houston_State_23,WAC,"$20,951,301.00",Sam_Houston_State_23
148,Long_Beach_State_23,BigWst,"$25,797,936.00",Long_Beach_State_23
149,California_State-Northridge_23,BigWst,"$20,101,511.00",California_State-Northridge_23
150,Tennessee-Chattanooga_23,SoCon,"$21,051,127.00",Tennessee-Chattanooga_23
151,New_Jersey_Tech_23,AmEast,"$20,064,224.00",New_Jersey_Tech_23
152,Jacksonville_State_23,Asun,"$20,288,342.00",Jacksonville_State_23
153,Eastern_Kentucky_23,Asun,"$19,440,010.00",Eastern_Kentucky_23
154,Louisiana-Monroe_23,SBC,"$20,527,424.00",Louisiana-Monroe_23
155,Lamar_23,SthLnd,"$18,854,203.00",Lamar_23
156,Southern_Illinois_23,MVC,"$22,028,920.00",Southern_Illinois_23
157,Indiana_State_23,MVC,"$17,903,701.00",Indiana_State_23
158,Murray_State_23,MVC,"$19,210,384.00",Murray_State_23
159,North_Carolina_Greensboro_23,SoCon,"$17,118,048.00",North_Carolina_Greensboro_23
160,Tarleton_State_23,WAC,"$18,048,307.00",Tarleton_State_23
161,Citadel_23,SoCon,"$18,019,405.00",Citadel_23
162,Illinois-Chicago_23,MVC,"$19,336,276.00",Illinois-Chicago_23
163,Southern_23,SWAC,"$18,585,316.00",Southern_23
164,Texas-Arlington_23,WAC,"$18,542,203.00",Texas-Arlington_23
165,Utah_Valley_23,WAC,"$18,906,619.00",Utah_Valley_23
166,Youngstown_State_23,Hor,"$17,773,159.00",Youngstown_State_23
167,California-Riverside_23,BigWst,"$16,789,734.00",California-Riverside_23
168,Austin_Peay_23,Asun,"$17,644,953.00",Austin_Peay_23
169,Oakland_23,Hor,"$17,325,703.00",Oakland_23
170,Northern_Iowa_23,MVC,"$19,819,613.00",Northern_Iowa_23
171,Florida_Gulf_Coast_23,Asun,"$17,286,852.00",Florida_Gulf_Coast_23
172,Tennessee_Tech_23,OVC,"$16,565,077.00",Tennessee_Tech_23
173,Central_Arkansas_23,Asun,"$17,096,473.00",Central_Arkansas_23
174,Southern_Utah_23,WAC,"$16,254,960.00",Southern_Utah_23
175,California_State-Bakersfield_23,BigWst,"$17,053,029.00",California_State-Bakersfield_23
176,Portland_State_23,BigSky,"$16,160,881.00",Portland_State_23
177,Northern_Kentucky_23,Hor,"$16,521,511.00",Northern_Kentucky_23
178,Western_Carolina_23,SoCon,"$17,040,389.00",Western_Carolina_23
179,North_Carolina_A&T_23,CAA,"$15,829,584.00",North_Carolina_A&T_23
180,Delaware_State_23,MEAC,"$16,211,290.00",Delaware_State_23
181,Texas-Rio_Grande_Valley_23,WAC,"$14,543,584.00",Texas-Rio_Grande_Valley_23
182,Central_Connecticut_23,NEC,"$16,043,570.00",Central_Connecticut_23
183,North_Carolina_Wilmington_23,CAA,"$15,141,319.00",North_Carolina_Wilmington_23
184,VMI_23,SoCon,"$16,114,012.00",VMI_23
185,Norfolk_State_23,MEAC,"$15,928,886.00",Norfolk_State_23
186,Tennessee_State_23,OVC,"$15,883,556.00",Tennessee_State_23
187,Radford_23,BigSou,"$12,194,004.00",Radford_23
188,Weber_State_23,BigSky,"$16,447,647.00",Weber_State_23
189,Southeastern_Louisiana_23,SthLnd,"$14,775,594.00",Southeastern_Louisiana_23
190,North_Florida_23,Asun,"$14,456,960.00",North_Florida_23
191,Texas_A&M-Corpus_Christi_23,SthLnd,"$14,968,202.00",Texas_A&M-Corpus_Christi_23
192,Alabama_State_23,SWAC,"$17,892,138.00",Alabama_State_23
193,Tennessee-Martin_23,OVC,"$14,461,961.00",Tennessee-Martin_23
194,Utah_Tech_23,WAC,"$13,987,957.00",Utah_Tech_23
195,Prairie_View_A&M_23,SWAC,"$18,821,203.00",Prairie_View_A&M_23
196,Cleveland_State_23,Hor,"$14,145,508.00",Cleveland_State_23
197,Alabama_A&M_23,SWAC,"$14,189,129.00",Alabama_A&M_23
198,North_Alabama_23,Asun,"$13,788,806.00",North_Alabama_23
199,Arkansas-Little_Rock_23,OVC,"$13,928,945.00",Arkansas-Little_Rock_23
200,McNeese_State_23,SthLnd,"$13,321,532.00",McNeese_State_23
201,Northwestern_State_La_23,SthLnd,"$13,234,261.00",Northwestern_State_La_23
202,Texas_Southern_23,SWAC,"$13,362,715.00",Texas_Southern_23
203,Purdue_Fort_Wayne_23,Hor,"$13,062,826.00",Purdue_Fort_Wayne_23
204,South_Carolina_State_23,MEAC,"$7,857,836.00",South_Carolina_State_23
205,Florida_A&M_23,SWAC,"$12,049,059.00",Florida_A&M_23
206,Eastern_Washington_23,BigSky,"$16,032,290.00",Eastern_Washington_23
207,Eastern_Illinois_23,OVC,"$14,551,286.00",Eastern_Illinois_23
208,Jackson_State_23,SWAC,"$12,637,183.00",Jackson_State_23
209,Southeast_Missouri_State_23,OVC,"$12,807,770.00",Southeast_Missouri_State_23
210,Missouri-Kansas_City_23,Summit,"$12,893,022.00",Missouri-Kansas_City_23
211,Longwood_23,BigSou,"$12,023,800.00",Longwood_23
212,Idaho_State_23,BigSky,"$15,447,714.00",Idaho_State_23
213,Morehead_State_23,OVC,"$11,639,966.00",Morehead_State_23
214,Winthrop_23,BigSou,"$11,515,673.00",Winthrop_23
215,Grambling_State_23,SWAC,"$12,334,219.00",Grambling_State_23
216,North_Carolina_Central_23,MEAC,"$11,339,477.00",North_Carolina_Central_23
217,Southern_Illinois_Edwardsville_23,OVC,"$11,106,055.00",Southern_Illinois_Edwardsville_23
218,Morgan_State_23,MEAC,"$14,924,648.00",Morgan_State_23
219,Wright_State_23,Hor,"$10,698,961.00",Wright_State_23
220,Nicholls_State_23,SthLnd,"$11,164,752.00",Nicholls_State_23
221,Indiana-Purdue_Indianapolis_23,Hor,"$10,281,924.00",Indiana-Purdue_Indianapolis_23
222,Western_Illinois_23,Summit,"$11,703,844.00",Western_Illinois_23
223,Wisconsin-Green_Bay_23,Hor,"$8,898,030.00",Wisconsin-Green_Bay_23
224,South_Carolina_Upstate_23,BigSou,"$8,946,029.00",South_Carolina_Upstate_23
225,North_Carolina_Asheville_23,BigSou,"$8,884,929.00",North_Carolina_Asheville_23
226,Arkansas-Pine_Bluff_23,SWAC,"$8,689,626.00",Arkansas-Pine_Bluff_23
227,Chicago_State_23,Ind,"$8,398,712.00",Chicago_State_23
228,Maryland-Eastern_Shore_23,MEAC,"$7,875,993.00",Maryland-Eastern_Shore_23
229,Alcorn_State_23,SWAC,"$6,863,951.00",Alcorn_State_23
230,Coppin_State_23,MEAC,"$5,254,060.00",Coppin_State_23
231,Mississippi_Valley_State_23,SWAC,"$4,040,925.00",Mississippi_Valley_State_23
232,New_Orleans_23,SthLnd,"$4,810,778.00",New_Orleans_23